Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
Container,Container Terminal XXI,10.6,10.9,Container Ship,CONTAINER SHIPS,1060.0,16.1,2012,LE HAVRE,Liberia,40542 tons,49857 tons,261 m,32 m
Container,Container Terminal XXI,1.4,1.9,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.2,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
7,Oil and Products Terminal,17.4,17.8,LPG Tanker,LPG CARRIERS,797.0,7.6,2004,LA GOMERA,Portugal,2708 tons,3090 tons,74 m,14 m
1A,Multi Purpose Terminal,24.4,32.0,Oil Products Tanker,WET BULK,4.0,6.5,2007,LISBOA,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,3.1,3.4,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,4.9,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,12.3,12.6,Container Ship,CONTAINER SHIPS,676.0,14.4,2010,VALENCIA,Liberia,54182 tons,63069 tons,293 m,32 m
5,Oil and Products Terminal,0.6,174.7,Tug,SUPPORTING VESSELS,1.0,4.7,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
5,Oil and Products Terminal,22.8,23.1,Oil/Chemical Tanker,WET BULK,242.0,11.4,2007,LEIXOES,Italy,13472 tons,19991 tons,149 m,23 m
5,Oil and Products Terminal,0.5,120.2,Tug,SUPPORTING VESSELS,1.0,5.3,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
7,Oil and Products Terminal,6.6,32.0,Oil Products Tanker,WET BULK,4.0,6.5,2007,LISBOA,Spain,4969 tons,6850 tons,99 m,18 m
6,Oil and Products Terminal,20.3,20.7,LPG Tanker,LPG CARRIERS,255.0,11.8,2006,LEIXOES,Cyprus,2997 tons,3147 tons,95 m,15 m
Container,Container Terminal XXI,11.5,11.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,3.8,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,15.0,15.4,Container Ship,CONTAINER SHIPS,1767.0,15.7,2008,PIRAEUS,Panama,41225 tons,53436 tons,265 m,32 m
