Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
5,Oil and Products Terminal,1.2,17.1,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.5,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
5,Oil and Products Terminal,1.1,17.1,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.8,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
5,Oil and Products Terminal,26.5,27.0,Crude Oil Tanker,WET BULK,7.0,5.2,2019,ROTTERDAM,Singapore,81000 tons,149999 tons,275 m,48 m
Sines LNG,REN Atlantico Terminal LNG,0.6,27.9,Tug,SUPPORTING VESSELS,2.0,5.3,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
Sines LNG,REN Atlantico Terminal LNG,0.6,27.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
2,Multi Purpose Terminal,0.7,27.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
Container,Container Terminal XXI,3.9,4.2,Oil Products Tanker,WET BULK,4.0,9.1,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,31.0,31.3,Container Ship,CONTAINER SHIPS,283.0,11.0,1998,CASABLANCA,Malta,11925 tons,14332 tons,149 m,23 m
6,Oil and Products Terminal,4.9,5.3,Oil Products Tanker,WET BULK,69.0,7.4,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,0.7,1.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,6.3,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
5,Oil and Products Terminal,0.5,27.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
5,Oil and Products Terminal,0.3,27.9,Tug,SUPPORTING VESSELS,2.0,5.3,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
Container,Container Terminal XXI,33.7,33.9,Container Ship,CONTAINER SHIPS,1207.0,12.2,2016,ANTWERP,Portugal,97805 tons,110103 tons,299 m,48 m
Container,Container Terminal XXI,2.1,2.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.4,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Sines LNG,REN Atlantico Terminal LNG,0.7,27.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Sines LNG,REN Atlantico Terminal LNG,0.8,27.9,Tug,SUPPORTING VESSELS,2.0,5.3,1979,SINES,Portugal,249 tons,189 tons,28 m,9 m
Sines LNG,REN Atlantico Terminal LNG,1.0,27.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
Sines LNG,REN Atlantico Terminal LNG,25.1,25.8,LNG Tanker,LNG CARRIERS,4632.0,11.7,2002,POINT FORTIN,Malaysia,94430 tons,75849 tons,276 m,43 m
2,Multi Purpose Terminal,0.4,27.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
