outlier policy,n,mean_h,median_h,sd_h,rmse_at_r2_0.311
all visits (<= 336 h),8148,26.9080265095729,21.866666666666667,23.40966206528715,19.431429683621857
<= 168 h,8110,26.031152897657215,21.8,19.407246522466934,16.109183682460188
z-score 3 on hours,8006,24.787498959114,21.583333333333332,16.00477449418089,13.284926938225999
z-score 3 on log hours,8106,26.3402130109384,21.866666666666667,20.327090443447226,16.872709547147476
