model,n,n_vessels,split,r2_log_mean,rmse_log_mean,r2_hours_mean,rmse_hours_mean,mae_hours_mean,median_ae_hours_mean,r2_log_sd,rmse_log_sd,r2_hours_sd,rmse_hours_sd,mae_hours_sd,median_ae_hours_sd,dedup,time_at_port
Random Forest (500 trees),795,334,random,0.852786975662039,0.2622199009414512,0.8920111563913542,7.003896433364881,2.400441367892488,0.19744344830233657,0.09250455082773543,0.08615331894073831,0.09413597953696022,2.6174291325834207,0.6224741685742762,0.015009129917795122,all calls kept,kept
Random Forest (500 trees),795,334,grouped by vessel,0.894680128275915,0.20024483945697363,0.9109485419272307,5.837382668901386,1.938277250553624,0.17696141482312414,0.08612862580920723,0.11213348452292757,0.10046049539625702,3.559811221192897,0.959284135241582,0.021144282435887864,all calls kept,kept
Random Forest (500 trees),795,334,random,0.41374855405542743,0.5467231396619796,0.2880306728112894,19.626677988869588,10.626336397227835,5.774940380590385,0.028264895862007866,0.03639598115986086,0.09681045462404402,5.087844934222678,1.6685240048841334,0.4902998440701016,all calls kept,removed
Random Forest (500 trees),795,334,grouped by vessel,0.37714449369669284,0.5106480525961262,0.3092493962505166,18.090049947639535,10.413649650973529,5.5110576401283815,0.09116759458174767,0.07414317592496249,0.1064178753006016,4.2370451837072505,1.7418688635859205,0.47557455456421643,all calls kept,removed
Random Forest (500 trees),753,334,random,0.8497895729253392,0.25515374027665366,0.9181648421945517,5.837512258741741,2.0824648231397824,0.21812450432649078,0.06173061425120055,0.05640528432118366,0.04546583923594059,1.278145861401072,0.2781933419899818,0.026316430252427667,1 call / vessel / day,kept
Random Forest (500 trees),753,334,grouped by vessel,0.9050801989626278,0.19395292828580563,0.9556036679049272,4.400986127790555,1.6122974560306687,0.1663120360523454,0.06402406328862197,0.09083200754320675,0.03464330557517679,1.9029035874486808,0.685683061103929,0.023951646777911485,1 call / vessel / day,kept
Random Forest (500 trees),753,334,random,0.42371264016482557,0.5086085903637687,0.29652437706010193,17.884761975855177,10.574666397291562,6.064034557230655,0.06745225164924389,0.04263907411945773,0.09456110095717023,2.723011182384538,0.8107468553031868,0.6226846011154512,1 call / vessel / day,removed
Random Forest (500 trees),753,334,grouped by vessel,0.3792194485242822,0.5092700207379581,0.3035763130219552,18.317596427471404,10.519472908834596,5.579722735930645,0.09970378721000647,0.07266213768570061,0.11338685028189441,4.3158990331431255,1.7947083400860064,0.619135096677154,1 call / vessel / day,removed
Random Forest (500 trees),332,332,random,0.9682862947159603,0.09102330300175066,0.9685000944639068,4.965164337385874,1.550817409162288,0.2652989717560878,0.042812350412866004,0.055441855461056094,0.028874460124149817,3.4034710638119368,0.8653004178071683,0.06305699860863062,1 call / vessel,kept
Random Forest (500 trees),332,332,grouped by vessel,0.9654345332013424,0.0972343962276964,0.9759351004877448,3.7963882636566084,1.3459455295447065,0.22778095616930435,0.044658629151371525,0.05300323924068619,0.021359769975069238,1.6603591480076312,0.6675051757979035,0.022943522075986208,1 call / vessel,kept
Random Forest (500 trees),332,332,random,0.2935207807802396,0.510495193776863,0.16321496226774687,27.543007612433957,14.685776491965754,7.015261464137043,0.07534172182040734,0.05916605341944354,0.05305956649959231,7.308876336399198,3.837510249701674,1.1288421968942013,1 call / vessel,removed
Random Forest (500 trees),332,332,grouped by vessel,0.30305737427513757,0.5136766610325288,0.2303161753845553,23.663647242751843,13.622888536060895,7.122661567191898,0.13006206351437685,0.05217878395458655,0.07021421270913612,5.663702202496879,2.3265401577075284,0.5719385286778668,1 call / vessel,removed
