period,n,manifest_coverage,median_tonnes,mean_tonnes,median_stay_h,corr_log_stay_vs_log_tonnes
2020,201,0.9850746268656716,11630.9695,24570.537237373737,25.333333333333332,0.18376985430550735
2021,1398,0.944206008583691,10975.2395,23168.795645265152,24.6,0.29114929292967073
2022,2540,0.9838582677165354,10931.23825,23360.530272817927,20.875,0.4299661699025929
2023,2340,0.9867521367521368,11358.87508,26948.84065516284,20.083333333333332,0.36110273841812585
2024,1669,0.29119233073696826,14553.52343,24382.488535020577,22.866666666666667,0.24284490551774776
