estimator,rmse_h,mae_h,median_ae_h,within_6h,within_12h
Random Forest,18.317596427471404,10.519472908834594,5.579722735930648,0.5277325327817887,0.7477682864011985
Median by vessel type,19.63507204406205,12.604225034623354,8.035,0.4058729935582977,0.6598221746923933
Median by terminal,21.72031313802506,12.919225034663878,7.659999999999999,0.4114774937459266,0.6773590042473361
Global median,22.468976753435275,13.49446454569086,8.2,0.40539796630016645,0.6380746980534642
