fraction,reporting_points,berth_visits,seconds,points_per_second
0.25,9037,1880,0.5394707460000063,16751.603431708405
0.5,18643,4083,1.05503915099996,17670.434298414682
0.75,27829,6164,1.5075075060000245,18460.272926826507
1.0,36773,8148,1.993523454999945,18446.2339320713
