"Dock Timestamp","Undock Timestamp","Vessel Name","Berth Name","Terminal Name","Current Port","Current Port Ata","Destination Port","Load Condition At Arrival","Current Port Atd","Load Condition At Departure","Time At Berth","Time At Port","Vessel Type - Generic","Capacity - Dwt","Capacity - Gt",Built,"Current Port Unlocode","Port Operation",Mmsi,Imo,"Current Port Country","Draught At Arrival","Origin Port Unlocode","Origin Port Country","Commercial Market","Commercial Size Class","Capacity - Teu","Capacity - Liquid Gas","Voyage Distance Travelled","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port","Voyage Time Underway","Draught At Departure"
"2024-04-03 07:39:00","2024-04-03 07:52:00","CTE CELSO MADEIRA","Sines LNG","REN Atlantico Terminal LNG",SINES,"2024-04-03 06:08:00",,N/A,"2024-04-03 18:23:00",N/A,0.2,12.3,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,6,11.2,16.8,0.0,"2024-04-03 05:42:00",SINES,0.4,0.0
"2024-04-03 06:49:00",,"TRADER III","Sines LNG","REN Atlantico Terminal LNG",SINES,"2024-04-03 06:24:00",,Laden,,,,,"LNG Tanker",75849,94430,2002,PTSIE,,636022727,9213416,PT,11.1,USYIG,US,"LNG CARRIERS",MNGC,,134770,5925,12.4,18.0,0.5,"2024-03-16 01:29:00",INGLESIDE,436.9,
"2024-04-03 06:49:00","2024-04-03 07:42:00","CASTELO DE SAO JORGE","Sines LNG","REN Atlantico Terminal LNG",SINES,"2024-04-03 06:26:00",,N/A,,,0.9,,"Fire Fighting Vessel",162,386,2005,PTSIE,,263625000,9319179,PT,6.5,,PT,"SUPPORTING VESSELS",,,,4,5.1,6.7,0.0,"2024-04-03 06:25:00","SINES ANCH",0.0,
"2024-04-03 04:32:00","2024-04-03 11:41:00","VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-03 04:08:00",SINES,N/A,"2024-04-03 11:42:00",N/A,7.2,7.6,Tug,,359,2024,PTSIE,NA,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,3,6.6,10.6,0.0,"2024-04-03 03:52:00",SINES,0.3,5.7
"2024-04-03 04:31:00","2024-04-03 19:02:00","MSC POH LIN",Container,"Container Terminal XXI",SINES,"2024-04-03 04:07:00",,Laden,"2024-04-03 19:04:00","Partially Laden",14.5,15.0,"Container Ship",66786,54774,2004,PTSIE,NONE,357405000,9279977,PT,11.5,BEANR,BE,"CONTAINER SHIPS",PANAMAX,4862,,1208,15.9,20.2,6.8,"2024-03-30 16:51:00",ANTWERP,83.3,11.3
"2024-04-03 04:17:00","2024-04-03 11:30:00","MED ANTARES",Container,"Container Terminal XXI",SINES,"2024-04-03 04:05:00",SINES,N/A,"2024-04-03 11:41:00",N/A,7.2,7.6,Tug,156,,2019,PTSIE,NA,255806406,9803821,PT,6.0,PTSIE,PT,"SUPPORTING VESSELS",,,,2,6.4,9.4,0.0,"2024-04-03 03:48:00",SINES,0.3,6.0
"2024-04-03 03:09:00","2024-04-03 03:42:00","CTE CELSO MADEIRA",Container,"Container Terminal XXI",SINES,"2024-04-03 03:06:00",SINES,N/A,"2024-04-03 03:43:00",N/A,0.6,0.6,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,17.6,18.9,0.0,"2024-04-03 02:58:00",SINES,0.1,0.0
"2024-04-02 23:23:00","2024-04-03 18:15:00","CGAS JUPITER",7,"Oil and Products Terminal",SINES,"2024-04-02 23:12:00",,"In ballast","2024-04-03 18:21:00","In ballast",18.9,19.2,"LPG Tanker",3090,2708,2004,PTSIE,LOAD,255802440,9261578,PT,4.9,PTLIS,PT,"LPG CARRIERS",SGC,,2939,27,4.8,6.7,12.2,"2024-03-28 16:35:00",LISBOA,126.6,5.9
"2024-04-02 22:17:00","2024-04-03 03:51:00","VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-02 21:59:00",SINES,N/A,"2024-04-03 03:52:00",N/A,5.6,5.9,Tug,,359,2024,PTSIE,NA,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,3,6.2,11.0,0.2,"2024-04-02 21:12:00",SINES,0.8,5.7
"2024-04-02 22:11:00","2024-04-03 03:45:00","MED ANTARES",Container,"Container Terminal XXI",SINES,"2024-04-02 22:05:00",SINES,N/A,"2024-04-03 03:48:00",N/A,5.6,5.7,Tug,156,,2019,PTSIE,NA,255806406,9803821,PT,6.0,PTSIE,PT,"SUPPORTING VESSELS",,,,2,5.1,6.2,0.3,"2024-04-02 21:16:00",SINES,0.8,6.0
