Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Imo,Voyage Origin Port
Container,Container Terminal XXI,6.5,6.8,Tug,SUPPORTING VESSELS,4.0,6.9,9998200,SINES
Container,Container Terminal XXI,7.2,7.6,Tug,SUPPORTING VESSELS,3.0,6.6,9998200,SINES
Container,Container Terminal XXI,14.5,15.0,Container Ship,CONTAINER SHIPS,1208.0,15.9,9279977,ANTWERP
Container,Container Terminal XXI,7.2,7.6,Tug,SUPPORTING VESSELS,2.0,6.4,9803821,SINES
7,Oil and Products Terminal,18.9,19.2,LPG Tanker,LPG CARRIERS,27.0,4.8,9261578,LISBOA
Container,Container Terminal XXI,5.6,5.9,Tug,SUPPORTING VESSELS,3.0,6.2,9998200,SINES
Container,Container Terminal XXI,5.6,5.7,Tug,SUPPORTING VESSELS,2.0,5.1,9803821,SINES
Container,Container Terminal XXI,0.5,7.8,Tug,SUPPORTING VESSELS,4.0,5.4,9803821,SINES
6,Oil and Products Terminal,17.5,41.2,Oil Products Tanker,WET BULK,4.0,5.2,9428671,SINES
Container,Container Terminal XXI,7.6,7.8,Tug,SUPPORTING VESSELS,4.0,6.1,9998200,SINES
Container,Container Terminal XXI,22.1,22.2,Container Ship,CONTAINER SHIPS,281.0,14.9,9289099,ALGECIRAS
3,Oil and Products Terminal,0.3,16.9,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,9319179,SINES ANCH
3,Oil and Products Terminal,33.0,33.4,Oil/Chemical Tanker,WET BULK,1387.0,6.7,9373230,LEIXOES
3,Oil and Products Terminal,0.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
Container,Container Terminal XXI,1.1,1.8,Tug,SUPPORTING VESSELS,3.0,6.5,9998200,SINES
Container,Container Terminal XXI,16.8,17.2,Container Ship,CONTAINER SHIPS,1314.0,16.7,9403396,GIOIA TAURO
Container,Container Terminal XXI,1.4,1.6,Tug,SUPPORTING VESSELS,3.0,5.4,9803821,SINES
Sines LNG,REN Atlantico Terminal LNG,1.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
Container,Container Terminal XXI,4.6,4.9,Tug,SUPPORTING VESSELS,3.0,5.2,9803821,SINES
Container,Container Terminal XXI,15.7,16.0,Container Ship,CONTAINER SHIPS,1908.0,14.5,9279965,NEMRUT
Container,Container Terminal XXI,4.7,5.2,Tug,SUPPORTING VESSELS,3.0,6.0,9998200,SINES
1A,Multi Purpose Terminal,15.5,16.1,Bulk Carrier,DRY BULK,26.0,6.1,9609902,ARZEW
7,Oil and Products Terminal,4.8,5.2,LPG Tanker,LPG CARRIERS,294.0,5.2,9261578,LISBOA
Container,Container Terminal XXI,9.3,9.7,Tug,SUPPORTING VESSELS,2.0,6.3,9998200,SINES
Container,Container Terminal XXI,14.8,15.0,Container Ship,CONTAINER SHIPS,997.0,12.8,9354363,AGADIR
Container,Container Terminal XXI,9.5,9.7,Tug,SUPPORTING VESSELS,3.0,7.6,9803821,SAN FERNANDO
1A,Multi Purpose Terminal,22.9,41.2,Oil Products Tanker,WET BULK,4.0,5.2,9428671,SINES
3,Oil and Products Terminal,24.6,25.1,Oil/Chemical Tanker,WET BULK,1144.0,7.8,9308558,SINES
3,Oil and Products Terminal,0.6,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
Sines LNG,REN Atlantico Terminal LNG,26.0,26.7,LNG Tanker,LNG CARRIERS,5473.0,12.4,9311581,BONNY
Sines LNG,REN Atlantico Terminal LNG,1.3,2.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.3,9319179,SINES ANCH
Container,Container Terminal XXI,7.4,7.7,Oil Products Tanker,WET BULK,50.0,7.9,9428671,SETUBAL
2,Oil and Products Terminal,0.9,2.4,Tug,SUPPORTING VESSELS,3.0,5.3,9071246,SINES
2,Oil and Products Terminal,1.8,2.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.0,9319179,SINES ANCH
2,Oil and Products Terminal,1.1,1.6,Tug,SUPPORTING VESSELS,4.0,7.8,9803821,SINES
3,Multi Purpose Terminal,7.5,9.1,Tug,SUPPORTING VESSELS,1.0,3.7,9071246,SINES
4,Oil and Products Terminal,0.7,9.1,Tug,SUPPORTING VESSELS,1.0,3.7,9071246,SINES
4,Oil and Products Terminal,21.5,22.0,Chemical Tanker,WET BULK,661.0,11.6,9470997,LAS PALMAS
4,Oil and Products Terminal,0.6,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
7,Oil and Products Terminal,0.4,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
7,Oil and Products Terminal,23.9,24.3,LPG Tanker,LPG CARRIERS,250.0,11.2,9710323,LEIXOES
Container,Container Terminal XXI,14.6,14.8,Tug,SUPPORTING VESSELS,3.0,5.9,9803821,SINES
Container,Container Terminal XXI,14.7,14.9,Tug,SUPPORTING VESSELS,3.0,5.5,9998200,SINES
Container,Container Terminal XXI,45.3,45.4,Container Ship,CONTAINER SHIPS,1340.0,11.3,9085546,GIOIA TAURO
Container,Container Terminal XXI,0.7,1.1,Tug,SUPPORTING VESSELS,3.0,5.7,9803821,SINES
Container,Container Terminal XXI,52.1,52.5,Container Ship,CONTAINER SHIPS,1667.0,14.0,9745653,ANTWERP
Container,Container Terminal XXI,0.7,1.0,Tug,SUPPORTING VESSELS,3.0,5.3,9998200,SINES
Sines LNG,REN Atlantico Terminal LNG,30.4,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9319179,SINES ANCH
10,Petrochemical Terminal,23.7,24.2,LPG Tanker,LPG CARRIERS,995.0,8.8,9371684,TARRAGONA
6,Oil and Products Terminal,22.5,23.0,Oil/Chemical Tanker,WET BULK,234.0,5.9,9555084,LEIXOES
7,Oil and Products Terminal,21.2,21.5,LPG Tanker,LPG CARRIERS,1119.0,9.7,9355290,SINES
3,Multi Purpose Terminal,25.3,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
2,Multi Purpose Terminal,0.2,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9319179,SINES ANCH
5,Oil and Products Terminal,0.5,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9319179,SINES ANCH
5,Oil and Products Terminal,0.7,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
5,Oil and Products Terminal,57.4,57.9,Oil/Chemical Tanker,WET BULK,1323.0,9.8,9724556,PURFLEET
4,Oil and Products Terminal,0.5,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
4,Oil and Products Terminal,30.2,30.7,LPG Tanker,LPG CARRIERS,361.0,5.5,9590670,SINES
3,Oil and Products Terminal,0.2,2.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,6.4,9319179,SINES
3,Oil and Products Terminal,38.1,38.5,Oil/Chemical Tanker,WET BULK,341.0,5.9,9373137,BARREIRO
3,Multi Purpose Terminal,1.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
Container,Container Terminal XXI,5.8,6.2,Oil Products Tanker,WET BULK,89.0,7.3,9428671,LISBOA
Container,Container Terminal XXI,13.5,13.8,Tug,SUPPORTING VESSELS,4.0,5.2,9803821,SAN FERNANDO
Container,Container Terminal XXI,13.6,13.9,Tug,SUPPORTING VESSELS,3.0,5.1,9998200,ALGECIRAS
Container,Container Terminal XXI,13.6,13.8,Container Ship,CONTAINER SHIPS,901.0,11.8,9280861,VALENCIA
1B,Multi Purpose Terminal,0.4,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,9319179,SINES
Container,Container Terminal XXI,9.7,10.0,Tug,SUPPORTING VESSELS,3.0,5.3,9803821,SINES
Container,Container Terminal XXI,9.8,10.1,Tug,SUPPORTING VESSELS,3.0,5.8,9998200,SINES
Container,Container Terminal XXI,23.5,23.6,Container Ship,CONTAINER SHIPS,2014.0,15.3,9297876,NEMRUT
Container,Container Terminal XXI,0.5,0.9,Tug,SUPPORTING VESSELS,3.0,5.8,9998200,SINES
Container,Container Terminal XXI,11.2,11.5,Container Ship,CONTAINER SHIPS,1327.0,13.9,9181675,NAPOLI
Container,Container Terminal XXI,0.7,0.9,Tug,SUPPORTING VESSELS,2.0,5.9,9803821,SINES
Container,Container Terminal XXI,26.6,27.0,Container Ship,CONTAINER SHIPS,671.0,11.1,9235050,VALENCIA
Container,Container Terminal XXI,0.5,3.2,Tug,SUPPORTING VESSELS,4.0,6.2,9998200,SINES
Container,Container Terminal XXI,3.0,3.3,Tug,SUPPORTING VESSELS,4.0,5.8,9803821,SAN FERNANDO
Container,Container Terminal XXI,6.8,74.0,Tug,SUPPORTING VESSELS,4.0,6.4,9803821,SINES
3,Multi Purpose Terminal,64.1,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
Sines LNG,REN Atlantico Terminal LNG,62.8,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,9319179,SINES
Container,Container Terminal XXI,54.7,73.7,Tug,SUPPORTING VESSELS,3.0,5.1,9998200,SINES
4,Oil and Products Terminal,0.8,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
2,Oil and Products Terminal,0.3,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,9319179,SINES
2,Oil and Products Terminal,1.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
Container,Container Terminal XXI,12.8,73.7,Tug,SUPPORTING VESSELS,3.0,5.1,9998200,SINES
Container,Container Terminal XXI,19.6,74.0,Tug,SUPPORTING VESSELS,4.0,6.4,9803821,SINES
Container,Container Terminal XXI,19.7,20.0,Container Ship,CONTAINER SHIPS,344.0,10.3,9315240,ALGECIRAS
5,Oil and Products Terminal,20.4,20.7,Oil/Chemical Tanker,WET BULK,2228.0,8.2,9405746,BISSAU
Container,Container Terminal XXI,25.4,25.6,Oil/Chemical Tanker,WET BULK,4.0,7.7,9555084,SINES
Container,Container Terminal XXI,87.5,87.8,Container Ship,CONTAINER SHIPS,324.0,8.8,9039250,VIGO
Container,Container Terminal XXI,19.2,19.5,Tug,SUPPORTING VESSELS,3.0,7.8,9998200,SINES
Container,Container Terminal XXI,19.1,19.4,Tug,SUPPORTING VESSELS,2.0,6.5,9803821,SINES
Container,Container Terminal XXI,0.7,1.0,Tug,SUPPORTING VESSELS,4.0,8.4,9803821,SINES
Container,Container Terminal XXI,34.6,34.9,Container Ship,CONTAINER SHIPS,673.0,16.3,9702261,VALENCIA
2,Multi Purpose Terminal,0.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
Container,Container Terminal XXI,0.7,1.0,Tug,SUPPORTING VESSELS,3.0,6.7,9998200,SINES
Container,Container Terminal XXI,2.4,2.6,Tug,SUPPORTING VESSELS,3.0,9.7,9803821,SINES
Container,Container Terminal XXI,2.5,2.6,Tug,SUPPORTING VESSELS,3.0,8.7,9998200,SINES
Container,Container Terminal XXI,0.7,1.0,Tug,SUPPORTING VESSELS,5.0,6.5,9998200,SINES
Container,Container Terminal XXI,27.3,27.5,Container Ship,CONTAINER SHIPS,3001.0,12.2,9465291,LOME
2,Oil and Products Terminal,1.0,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
2,Oil and Products Terminal,33.9,34.3,Crude Oil Tanker,WET BULK,542.0,10.2,9427641,ARZEW
2,Oil and Products Terminal,1.2,125.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.8,9319179,SINES
4,Oil and Products Terminal,39.0,39.4,LPG Tanker,LPG CARRIERS,3248.0,12.7,9590670,MARCUS HOOK
6,Oil and Products Terminal,19.4,19.9,Oil/Chemical Tanker,WET BULK,4.0,8.2,9555084,SINES
3,Oil and Products Terminal,0.4,9.5,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
3,Oil and Products Terminal,26.9,27.4,Oil/Chemical Tanker,WET BULK,1177.0,12.8,9301897,ROTTERDAM
7,Oil and Products Terminal,34.9,35.4,LPG Tanker,LPG CARRIERS,1600.0,11.1,9719513,KAARSTO
3,Multi Purpose Terminal,30.2,30.7,General Cargo,DRY BREAKBULK,198.0,10.0,9391024,HUELVA
Container,Container Terminal XXI,8.6,9.1,Oil/Chemical Tanker,WET BULK,4.0,6.5,9555084,SINES
Container,Container Terminal XXI,26.7,27.9,Tug,SUPPORTING VESSELS,5.0,6.9,9803821,SINES
Container,Container Terminal XXI,34.9,35.2,Container Ship,CONTAINER SHIPS,676.0,13.3,9320439,VALENCIA
Container,Container Terminal XXI,27.7,27.9,Tug,SUPPORTING VESSELS,3.0,6.1,9998200,SINES
6,Oil and Products Terminal,7.0,7.4,Oil/Chemical Tanker,WET BULK,134.0,9.1,9555084,LEIXOES
Container,Container Terminal XXI,34.3,34.5,Container Ship,CONTAINER SHIPS,296.0,8.2,9931290,TANGER MED II
Container,Container Terminal XXI,6.0,6.1,Tug,SUPPORTING VESSELS,3.0,7.1,9803821,SINES
Container,Container Terminal XXI,1.1,1.4,Fire Fighting Vessel,SUPPORTING VESSELS,5.0,6.0,9319179,SINES
Container,Container Terminal XXI,1.1,1.5,Tug,SUPPORTING VESSELS,4.0,6.6,9803821,SINES
Container,Container Terminal XXI,42.2,42.5,Container Ship,CONTAINER SHIPS,1303.0,10.1,9299549,GIOIA TAURO
7,Oil and Products Terminal,6.5,6.9,Oil Products Tanker,WET BULK,4.0,8.2,9428671,SINES
5,Oil and Products Terminal,31.2,31.5,LPG Tanker,LPG CARRIERS,298.0,12.2,9519523,CEUTA
4,Oil and Products Terminal,0.2,40.5,Tug,SUPPORTING VESSELS,3.0,6.8,9071246,LISBOA
4,Oil and Products Terminal,35.5,35.8,Oil/Chemical Tanker,WET BULK,762.0,12.3,9587843,TARRAGONA
Container,Container Terminal XXI,10.2,10.5,Tug,SUPPORTING VESSELS,3.0,5.8,9803821,SINES
Container,Container Terminal XXI,15.2,15.5,Container Ship,CONTAINER SHIPS,486.0,14.1,9326940,AGADIR
Container,Container Terminal XXI,19.7,20.0,Tug,SUPPORTING VESSELS,2.0,5.2,9998200,SINES
Container,Container Terminal XXI,21.1,21.3,Container Ship,CONTAINER SHIPS,245.0,12.5,9295531,LEIXOES
6,Oil and Products Terminal,19.5,20.1,LPG Tanker,LPG CARRIERS,249.0,12.4,9710323,LEIXOES
1B,Multi Purpose Terminal,137.2,137.8,Livestock Carrier,OTHER MARKETS,428.0,9.0,8009076,CEUTA
Container,Container Terminal XXI,19.2,19.6,Oil Products Tanker,WET BULK,4.0,7.4,9428671,SINES
Container,Container Terminal XXI,14.2,14.4,Tug,SUPPORTING VESSELS,3.0,6.8,9803821,SINES
Container,Container Terminal XXI,25.3,25.4,Container Ship,CONTAINER SHIPS,1308.0,14.0,9181663,GIOIA TAURO
Container,Container Terminal XXI,14.1,14.5,Tug,SUPPORTING VESSELS,3.0,6.1,9998200,SINES
4,Oil and Products Terminal,0.4,69.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.9,9319179,SINES
7,Oil and Products Terminal,7.2,7.7,Oil Products Tanker,WET BULK,4.0,6.9,9428671,SETUBAL
Container,Container Terminal XXI,6.0,6.3,Tug,SUPPORTING VESSELS,5.0,6.5,9803821,SINES
Container,Container Terminal XXI,6.0,6.1,Tug,SUPPORTING VESSELS,4.0,5.2,9998200,SINES
Container,Container Terminal XXI,34.2,34.3,Container Ship,CONTAINER SHIPS,1229.0,12.1,9756729,ROTTERDAM MAASVLAKTE
3,Oil and Products Terminal,0.2,27.4,Tug,SUPPORTING VESSELS,2.0,5.5,9071246,SINES
3,Oil and Products Terminal,36.9,37.4,Oil/Chemical Tanker,WET BULK,251.0,10.0,9373137,AVEIRO
5,Oil and Products Terminal,31.5,31.9,Oil/Chemical Tanker,WET BULK,773.0,11.4,9373230,PONTA DELGADA
1A,Multi Purpose Terminal,6.6,34.1,Oil/Chemical Tanker,WET BULK,252.0,6.0,9308558,LEIXOES
1B,Multi Purpose Terminal,29.3,29.7,General Cargo,DRY BREAKBULK,249.0,9.7,9536052,VIANA DO CASTELO
Container,Container Terminal XXI,17.8,18.1,Tug,SUPPORTING VESSELS,3.0,8.5,9803821,SINES
Container,Container Terminal XXI,24.8,25.1,Container Ship,CONTAINER SHIPS,1933.0,15.9,9141297,NEMRUT
Container,Container Terminal XXI,18.0,18.3,Tug,SUPPORTING VESSELS,3.0,6.7,9998200,SINES
6,Oil and Products Terminal,9.5,10.0,Oil Products Tanker,WET BULK,4.0,6.0,9428671,SETUBAL
Container,Container Terminal XXI,0.7,5.0,Tug,SUPPORTING VESSELS,3.0,10.4,9998200,SINES
1A,Multi Purpose Terminal,0.3,0.5,Tug,SUPPORTING VESSELS,3.0,10.5,9998200,SINES
Container,Container Terminal XXI,0.4,0.8,Tug,SUPPORTING VESSELS,3.0,5.3,9998200,SINES
Container,Container Terminal XXI,6.4,6.7,Tug,SUPPORTING VESSELS,4.0,6.9,9803821,SINES
Container,Container Terminal XXI,45.3,45.6,Container Ship,CONTAINER SHIPS,308.0,13.8,9149897,VIGO
5,Oil and Products Terminal,26.8,34.1,Oil/Chemical Tanker,WET BULK,252.0,6.0,9308558,LEIXOES
Container,Container Terminal XXI,11.4,11.7,Oil Products Tanker,WET BULK,43.0,8.0,9428671,SETUBAL
Container,Container Terminal XXI,7.5,7.5,Tug,SUPPORTING VESSELS,3.0,5.9,9803821,SINES
Container,Container Terminal XXI,7.6,7.8,Tug,SUPPORTING VESSELS,4.0,5.5,9998200,SINES
Container,Container Terminal XXI,33.3,33.5,Container Ship,CONTAINER SHIPS,334.0,14.4,9467457,MALAGA
Container,Container Terminal XXI,0.7,1.2,Tug,SUPPORTING VESSELS,3.0,4.8,9803821,SINES
Container,Container Terminal XXI,0.8,1.0,Tug,SUPPORTING VESSELS,3.0,5.1,9998200,SINES
Container,Container Terminal XXI,16.5,16.7,Container Ship,CONTAINER SHIPS,279.0,18.9,9293777,ALGECIRAS
4,Oil and Products Terminal,1.0,34.8,Tug,SUPPORTING VESSELS,3.0,5.7,9071246,SINES
4,Oil and Products Terminal,1.0,69.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.9,9319179,SINES
4,Oil and Products Terminal,40.9,41.6,Crude Oil Tanker,WET BULK,891.0,11.7,9568196,SKIKDA
7,Oil and Products Terminal,21.3,21.7,LPG Tanker,LPG CARRIERS,248.0,11.8,9355290,LEIXOES
6,Oil and Products Terminal,20.0,20.6,Oil/Chemical Tanker,WET BULK,4.0,7.7,9555084,SINES
3,Oil and Products Terminal,0.4,8.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.4,9319179,SINES ANCH
3,Oil and Products Terminal,23.2,23.6,Chemical Tanker,WET BULK,7.0,5.3,9470997,CARTEYA GUADARRANQUE
Container,Container Terminal XXI,0.9,1.1,Tug,SUPPORTING VESSELS,4.0,7.4,9071246,SINES
2,Multi Purpose Terminal,84.3,84.8,Livestock Carrier,OTHER MARKETS,289.0,10.8,8200577,CEUTA
Container,Container Terminal XXI,16.4,18.5,Tug,SUPPORTING VESSELS,3.0,6.1,9803821,SINES
Container,Container Terminal XXI,18.2,18.6,Tug,SUPPORTING VESSELS,3.0,6.2,9998200,SINES
Container,Container Terminal XXI,28.7,29.0,Container Ship,CONTAINER SHIPS,9677.0,16.8,9955789,MUNDRA
4,Oil and Products Terminal,1.5,9.6,Tug,SUPPORTING VESSELS,2.0,6.0,9071246,SINES
4,Oil and Products Terminal,19.1,19.6,Oil/Chemical Tanker,WET BULK,3239.0,12.7,9909572,POINT LISAS
5,Oil and Products Terminal,20.1,20.5,LPG/Chemical Tanker,LPG CARRIERS,6.0,4.8,9377054,ROTTERDAM BOTLEK
Container,Container Terminal XXI,17.4,17.6,Oil/Chemical Tanker,WET BULK,4.0,5.4,9555084,LEIXOES
Container,Container Terminal XXI,6.4,6.6,Tug,SUPPORTING VESSELS,3.0,6.7,9803821,SINES
Container,Container Terminal XXI,23.9,24.0,Container Ship,CONTAINER SHIPS,672.0,15.0,9706205,VALENCIA
Container,Container Terminal XXI,6.5,6.6,Tug,SUPPORTING VESSELS,3.0,7.2,9998200,SINES
Container,Container Terminal XXI,0.8,4.4,Tug,SUPPORTING VESSELS,3.0,12.3,9803821,SINES
2,Multi Purpose Terminal,0.4,3.9,Tug,SUPPORTING VESSELS,5.0,7.1,9998200,SINES
Container,Container Terminal XXI,0.2,0.6,Tug,SUPPORTING VESSELS,6.0,6.5,9071246,LISBOA
Container,Container Terminal XXI,0.7,1.1,Fire Fighting Vessel,SUPPORTING VESSELS,6.0,6.4,9319179,SINES
Container,Container Terminal XXI,20.3,20.5,Container Ship,CONTAINER SHIPS,986.0,12.3,9687552,LE HAVRE
1B,Multi Purpose Terminal,0.6,1.1,Tug,SUPPORTING VESSELS,5.0,6.9,9803821,SINES
1A,Multi Purpose Terminal,44.0,44.7,Container Ship,CONTAINER SHIPS,5.0,6.9,9702077,SINES
1A,Multi Purpose Terminal,0.4,3.9,Tug,SUPPORTING VESSELS,5.0,7.1,9998200,SINES
Container,Container Terminal XXI,14.5,14.9,Container Ship,CONTAINER SHIPS,1508.0,13.4,9619440,HAMBURG
Container,Container Terminal XXI,1.2,1.5,Tug,SUPPORTING VESSELS,4.0,6.3,9803821,SINES
Container,Container Terminal XXI,1.3,1.6,Tug,SUPPORTING VESSELS,4.0,7.0,9998200,SINES
3,Oil and Products Terminal,0.5,4.3,Tug,SUPPORTING VESSELS,3.0,5.2,9071246,LISBOA
3,Oil and Products Terminal,25.8,26.2,Oil/Chemical Tanker,WET BULK,3333.0,12.1,9747338,PORT HARCOURT
Container,Container Terminal XXI,9.9,10.2,Tug,SUPPORTING VESSELS,3.0,7.7,9803821,SINES
Container,Container Terminal XXI,9.8,10.1,Container Ship,CONTAINER SHIPS,1914.0,15.5,9279977,NEMRUT
Container,Container Terminal XXI,10.0,10.2,Tug,SUPPORTING VESSELS,2.0,7.1,9998200,SINES
7,Oil and Products Terminal,21.9,22.3,LPG Tanker,LPG CARRIERS,214.0,12.6,9658367,HUELVA
6,Oil and Products Terminal,16.9,17.2,LPG Tanker,LPG CARRIERS,249.0,12.7,9710323,LEIXOES
2,Oil and Products Terminal,0.7,16.4,Tug,SUPPORTING VESSELS,4.0,5.0,9071246,SINES
2,Oil and Products Terminal,0.4,21.5,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.4,9319179,SINES
2,Oil and Products Terminal,34.7,35.1,Crude Oil Tanker,WET BULK,2323.0,11.8,9446427,CEYHAN
Container,Container Terminal XXI,9.2,9.3,Tug,SUPPORTING VESSELS,4.0,5.4,9998200,SINES
Container,Container Terminal XXI,9.1,9.4,Tug,SUPPORTING VESSELS,3.0,7.3,9803821,SINES
Container,Container Terminal XXI,28.0,28.2,Container Ship,CONTAINER SHIPS,9619.0,13.6,9461374,MUNDRA
4,Oil and Products Terminal,0.2,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9319179,SINES
1A,Multi Purpose Terminal,24.1,24.6,Oil Products Tanker,WET BULK,3.0,6.3,9428671,SETUBAL
Container,Container Terminal XXI,28.8,29.1,Container Ship,CONTAINER SHIPS,705.0,14.7,9702077,VALENCIA
Container,Container Terminal XXI,5.9,6.2,Tug,SUPPORTING VESSELS,4.0,6.7,9998200,SINES
Container,Container Terminal XXI,6.2,6.5,Tug,SUPPORTING VESSELS,3.0,7.1,9803821,SINES
3,Multi Purpose Terminal,33.4,33.8,Livestock Carrier,OTHER MARKETS,4770.0,9.0,8616623,HAIFA
6,Oil and Products Terminal,15.2,34.5,Oil/Chemical Tanker,WET BULK,122.0,8.9,9555084,SINES
5,Oil and Products Terminal,11.5,11.9,LPG/Chemical Tanker,LPG CARRIERS,1163.0,10.8,9377054,ROTTERDAM BOTLEK
3,Oil and Products Terminal,39.3,39.8,Chemical Tanker,WET BULK,347.0,9.2,9470997,CARTEYA GUADARRANQUE
4,Oil and Products Terminal,0.8,1.3,Tug,SUPPORTING VESSELS,3.0,6.0,9071246,LISBOA
4,Oil and Products Terminal,17.9,18.2,Oil/Chemical Tanker,WET BULK,274.0,9.7,9373137,LEIXOES
Container,Container Terminal XXI,18.1,18.5,Tug,SUPPORTING VESSELS,2.0,8.4,9803821,SINES
Container,Container Terminal XXI,35.0,35.2,Container Ship,CONTAINER SHIPS,673.0,11.9,9362449,VALENCIA
Container,Container Terminal XXI,18.2,18.5,Tug,SUPPORTING VESSELS,1.0,7.4,9998200,SINES
Container,Container Terminal XXI,0.6,1.0,Tug,SUPPORTING VESSELS,4.0,7.5,9998200,SINES
Container,Container Terminal XXI,19.1,19.5,Container Ship,CONTAINER SHIPS,61.0,7.1,9770751,ANTWERP
Container,Container Terminal XXI,0.8,0.9,Tug,SUPPORTING VESSELS,4.0,7.5,9803821,SINES
Sines LNG,REN Atlantico Terminal LNG,18.3,34.5,Oil/Chemical Tanker,WET BULK,122.0,8.9,9555084,SINES
2,Multi Purpose Terminal,0.6,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9319179,SINES
6,Oil and Products Terminal,13.5,13.9,Oil Products Tanker,WET BULK,4.0,7.6,9428671,SINES
Container,Container Terminal XXI,26.6,27.1,Tug,SUPPORTING VESSELS,3.0,6.7,9803821,SINES
Container,Container Terminal XXI,26.6,27.0,Tug,SUPPORTING VESSELS,3.0,7.3,9998200,SINES
Container,Container Terminal XXI,26.6,26.9,Container Ship,CONTAINER SHIPS,669.0,16.2,9426817,VALENCIA
Container,Container Terminal XXI,18.8,19.2,Oil Products Tanker,WET BULK,4.0,6.3,9428671,SINES
Container,Container Terminal XXI,8.3,8.8,Tug,SUPPORTING VESSELS,3.0,6.3,9998200,SINES
Container,Container Terminal XXI,33.8,34.3,Container Ship,CONTAINER SHIPS,2306.0,13.8,9301483,HAIFA
Container,Container Terminal XXI,8.4,8.8,Tug,SUPPORTING VESSELS,2.0,6.1,9803821,SINES
3,Multi Purpose Terminal,27.1,27.7,General Cargo,DRY BREAKBULK,250.0,10.3,9536052,VIANA DO CASTELO
Container,Container Terminal XXI,1.6,2.1,Tug,SUPPORTING VESSELS,4.0,6.0,9998200,SINES
Container,Container Terminal XXI,1.7,1.8,Tug,SUPPORTING VESSELS,3.0,7.1,9803821,SINES
Container,Container Terminal XXI,65.5,65.7,Container Ship,CONTAINER SHIPS,10789.0,17.8,9930064,TANJUNG PELEPAS
3,Multi Purpose Terminal,0.8,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9319179,SINES
7,Oil and Products Terminal,16.2,16.5,LPG Tanker,LPG CARRIERS,246.0,11.1,9355290,LEIXOES
5,Oil and Products Terminal,0.3,71.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9319179,SINES
5,Oil and Products Terminal,24.1,24.4,Oil/Chemical Tanker,WET BULK,820.0,12.3,9696565,BARCELONA
Container,Container Terminal XXI,5.2,5.4,Tug,SUPPORTING VESSELS,3.0,10.0,9803821,SINES
2,Oil and Products Terminal,1.7,12.5,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,9319179,SINES
4,Oil and Products Terminal,3.0,59.0,Tug,SUPPORTING VESSELS,4.0,5.0,9071246,LISBOA
4,Oil and Products Terminal,58.9,59.2,Oil/Chemical Tanker,WET BULK,1503.0,12.2,9873644,IMMINGHAM
Container,Container Terminal XXI,9.9,10.2,Tug,SUPPORTING VESSELS,3.0,7.3,9803821,SINES
Container,Container Terminal XXI,19.5,20.0,Tug,SUPPORTING VESSELS,3.0,7.6,9998200,SINES
