Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Imo,Voyage Origin Port
Container,Container Terminal XXI,5.6,5.9,Container Ship,CONTAINER SHIPS,478.0,11.1,9326940,AGADIR
Container,Container Terminal XXI,0.4,0.5,Tug,SUPPORTING VESSELS,1.0,5.1,9803821,SINES
7,Oil and Products Terminal,0.2,63.6,Tug,SUPPORTING VESSELS,1.0,5.3,7626085,SINES
7,Oil and Products Terminal,8.5,9.0,Oil/Chemical Tanker,WET BULK,4.0,6.2,9555084,LEIXOES
Container,Container Terminal XXI,1.2,1.6,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,4.9,9525443,SINES
Container,Container Terminal XXI,18.8,19.1,General Cargo,DRY BREAKBULK,296.0,11.2,9327580,CASABLANCA
Container,Container Terminal XXI,1.5,1.7,Tug,SUPPORTING VESSELS,1.0,4.5,9803821,SINES
5,Oil and Products Terminal,0.7,63.6,Tug,SUPPORTING VESSELS,1.0,5.3,7626085,SINES
5,Oil and Products Terminal,0.2,21.3,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.1,9503512,SINES
5,Oil and Products Terminal,36.2,36.6,Oil/Chemical Tanker,WET BULK,73.0,6.5,9373137,SINES
5,Oil and Products Terminal,0.2,2.2,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9503512,SINES
Container,Container Terminal XXI,2.3,2.5,Tug,SUPPORTING VESSELS,3.0,8.3,9803821,SINES
Container,Container Terminal XXI,2.3,2.4,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.9,9525443,SINES
2,Oil and Products Terminal,1.1,105.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.4,9319179,SINES
2,Oil and Products Terminal,1.4,2.2,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,6.0,9503512,SINES
2,Oil and Products Terminal,35.3,35.7,Crude Oil Tanker,WET BULK,551.0,11.1,9593426,ARZEW
Container,Container Terminal XXI,4.5,4.7,Oil/Chemical Tanker,WET BULK,4.0,7.9,9555084,SINES
Container,Container Terminal XXI,0.4,0.7,Tug,SUPPORTING VESSELS,4.0,6.8,9803821,SINES
Container,Container Terminal XXI,0.4,0.8,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,6.2,9525443,SINES
Container,Container Terminal XXI,12.9,13.2,Container Ship,CONTAINER SHIPS,1305.0,14.0,9297876,ANTWERP
Container,Container Terminal XXI,1.1,1.4,Tug,SUPPORTING VESSELS,4.0,7.0,9803821,SINES
Container,Container Terminal XXI,12.0,12.2,Container Ship,CONTAINER SHIPS,1939.0,15.9,9282261,NEMRUT
7,Oil and Products Terminal,9.0,31.5,Oil Products Tanker,WET BULK,5.0,0.0,9428671,SINES
2,Oil and Products Terminal,0.8,44.5,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,7.2,9503512,SINES
6,Oil and Products Terminal,20.1,20.5,LPG Tanker,LPG CARRIERS,247.0,10.7,9355290,LEIXOES
Container,Container Terminal XXI,0.7,0.8,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.6,9525443,SINES
1A,Multi Purpose Terminal,0.2,63.6,Tug,SUPPORTING VESSELS,1.0,5.3,7626085,SINES
1A,Multi Purpose Terminal,31.7,32.3,Oil/Chemical Tanker,WET BULK,4.0,6.4,9555084,LEIXOES
1A,Multi Purpose Terminal,0.3,0.5,Oil Products Tanker,WET BULK,44.0,10.0,9428671,SETUBAL
3,Oil and Products Terminal,0.1,5.9,Tug,SUPPORTING VESSELS,1.0,7.5,7626085,SINES
4,Oil and Products Terminal,0.4,44.5,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,7.2,9503512,SINES
4,Oil and Products Terminal,0.7,5.9,Tug,SUPPORTING VESSELS,1.0,7.5,7626085,SINES
4,Oil and Products Terminal,77.8,78.1,Oil/Chemical Tanker,WET BULK,3129.0,12.2,9354272,LAGOS
2,Oil and Products Terminal,2.1,2.5,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.6,9503512,SINES ANCH
2,Oil and Products Terminal,0.7,47.4,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,4.9,9319179,SINES ANCH
2,Oil and Products Terminal,27.7,28.1,Crude Oil Tanker,WET BULK,729.0,10.6,9399492,BILBAO
Container,Container Terminal XXI,0.3,0.6,Tug,SUPPORTING VESSELS,4.0,6.9,9803821,SINES
Container,Container Terminal XXI,15.1,15.3,Container Ship,CONTAINER SHIPS,677.0,13.7,9770737,VALENCIA
2,Oil and Products Terminal,1.7,2.5,Tug,SUPPORTING VESSELS,6.0,7.2,7626085,SINES
5,Oil and Products Terminal,0.4,2.5,Tug,SUPPORTING VESSELS,6.0,7.2,7626085,SINES
5,Oil and Products Terminal,24.4,25.0,Oil/Chemical Tanker,WET BULK,524.0,6.5,9405746,CARTAGENA
Container,Container Terminal XXI,0.7,0.8,Tug,SUPPORTING VESSELS,3.0,11.5,9803821,SINES
Container,Container Terminal XXI,0.5,0.7,Tug,SUPPORTING VESSELS,3.0,6.8,7626085,SINES
Container,Container Terminal XXI,6.5,6.7,Oil/Chemical Tanker,WET BULK,4.0,6.4,9555084,SINES
Container,Container Terminal XXI,12.4,12.8,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,6.3,9525443,SINES
Container,Container Terminal XXI,0.4,0.6,Tug,SUPPORTING VESSELS,3.0,5.5,9803821,SINES
Container,Container Terminal XXI,12.5,12.7,Container Ship,CONTAINER SHIPS,281.0,10.4,9306172,ALGECIRAS
